"b1-nummer","achternaam","voorletters","voorna(a)m(en)","roepnaam","prepositie","geslacht","partij(en)/fractie(s)","functie","bijzondere functie(s)","post(en) in kabinet(ten)","naam kabinet(ten)","begin periode","einde periode","url"
"02336","Teeven","F.","Fredrik","Fred","","m","VVD","staatssecretaris","","Veiligheid en Justitie","eerste kabinet-Rutte","2010-10-14","2012-11-04","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopufnzg"
"02336","Teeven","F.","Fredrik","Fred","","m","VVD","staatssecretaris","","Veiligheid en Justitie","tweede kabinet-Rutte","2012-11-05","2015-03-08","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopufnzg"
"02337","Sterk","W.R.C.","Willemina Roziena Catharina","Mirjam","","v","CDA","2e kamerlid","","","","2002-05-23","2003-01-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopuezzf"
"02337","Sterk","W.R.C.","Willemina Roziena Catharina","Mirjam","","v","CDA","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopuezzf"
"02337","Sterk","W.R.C.","Willemina Roziena Catharina","Mirjam","","v","CDA","2e kamerlid","","","","2006-11-30","2008-04-07","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopuezzf"
"02337","Sterk","W.R.C.","Willemina Roziena Catharina","Mirjam","","v","CDA","2e kamerlid","","","","2008-07-29","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopuezzf"
"02337","Sterk","W.R.C.","Willemina Roziena Catharina","Mirjam","","v","CDA","2e kamerlid","","","","2010-06-17","2012-09-19","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopuezzf"
"02338","Strik","M.H.A.","Martina Hermina Antonia","Tineke","","v","GroenLinks","1e kamerlid","","","","2007-06-12","2011-06-06","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopuitzk"
"02338","Strik","M.H.A.","Martina Hermina Antonia","Tineke","","v","GroenLinks","1e kamerlid","","","","2011-06-07","2015-06-08","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopuitzk"
"02338","Strik","M.H.A.","Martina Hermina Antonia","Tineke","","v","GroenLinks","1e kamerlid","","","","2015-06-09","","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopuitzk"
"02339","Tichelaar","J.","Jacques","Jacques","","m","PvdA","2e kamerlid","","","","2002-05-23","2003-01-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopui8zj"
"02339","Tichelaar","J.","Jacques","Jacques","","m","PvdA","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopui8zj"
"02339","Tichelaar","J.","Jacques","Jacques","","m","PvdA","2e kamerlid","fractievoorzitter","","","2006-11-30","2009-04-30","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopui8zj"
"02340","Tonkens","E.H.","Evelina Hendrika","Evelien","","v","GroenLinks","2e kamerlid","","","","2002-05-23","2003-01-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopvp1zv"
"02340","Tonkens","E.H.","Evelina Hendrika","Evelien","","v","GroenLinks","2e kamerlid","","","","2003-01-30","2005-06-28","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopvp1zv"
"02341","Varela","J.M.","","João","","m","LPF","2e kamerlid","","","","2002-05-23","2003-01-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopvodzu"
"02341","Varela","J.M.","","João","","m","LPF","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopvodzu"
"02342","Velzen","K.","Krista","Krista","van","v","SP","2e kamerlid","","","","2002-05-23","2003-01-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopvnizs"
"02342","Velzen","K.","Krista","Krista","van","v","SP","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopvnizs"
