"b1-nummer","achternaam","voorletters","voorna(a)m(en)","roepnaam","prepositie","geslacht","partij(en)/fractie(s)","functie","bijzondere functie(s)","post(en) in kabinet(ten)","naam kabinet(ten)","begin periode","einde periode","url"
"02397","Haverkamp","M.C.","Maarten Cornelis","Maarten","","m","CDA","2e kamerlid","","","","2006-11-30","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgoprk2sk"
"02397","Haverkamp","M.C.","Maarten Cornelis","Maarten","","m","CDA","2e kamerlid","","","","2010-10-26","2012-09-19","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgoprk2sk"
"02398","Koomen","M.G.E.","Maria Geertruida Elisabeth","Myra","","v","CDA","2e kamerlid","","","","2002-07-26","2003-01-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopronwy"
"02398","Koomen","M.G.E.","Maria Geertruida Elisabeth","Myra","","v","CDA","2e kamerlid","","","","2003-06-03","2006-06-06","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopronwy"
"02399","Smilde","M.Ch.A.","Margaretha Charlotte Adelheid","Margreeth","","v","CDA","2e kamerlid","","","","2002-07-26","2003-01-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopro6wx"
"02399","Smilde","M.Ch.A.","Margaretha Charlotte Adelheid","Margreeth","","v","CDA","2e kamerlid","","","","2003-06-03","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopro6wx"
"02399","Smilde","M.Ch.A.","Margaretha Charlotte Adelheid","Margreeth","","v","CDA","2e kamerlid","","","","2008-01-23","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopro6wx"
"02399","Smilde","M.Ch.A.","Margaretha Charlotte Adelheid","Margreeth","","v","CDA","2e kamerlid","","","","2010-06-17","2012-09-19","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopro6wx"
"02401","Dijken","M.J.","Maria Johanna","Marjo","van","v","PvdA","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpn9hzk"
"02401","Dijken","M.J.","Maria Johanna","Marjo","van","v","PvdA","2e kamerlid","","","","2007-03-01","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpn9hzk"
