Label	Type	Id
Politie opleidingsschool te Noord Holland	Org	133
Raad van Bijstand RIOD Rijksinstituut voor Oorlogsdocumentatie	Org	134
N V Luchthaven Schiphol	Org	135
Herinneringscentrum Westerbork	Org	136
Landelijk Bureau Racismebestrijding	Org	137
EU commissie inzake racisme en xenofobie	Org	138
ANVR Algemeen Nederlands Verbond van Reisondernemingen	Org	139
Stichting Het Parool  later Stichting Het Nieuwe Parool	Org	140
Adviescommissie verslavingszorg	Org	141
AT5	Org	142
ECI literatuurprijs schrijvers van nu	Org	143
Sport	Org	144
Bosnië	Org	145
Academisch Ziekenhuis Groningen	Org	146
Universiteit van Amsterdam	Org	147
Sociaal Agogisch Centrum	Org	148
AFC Ajax	Org	149
Cleveringa leerstoel 	Org	150
International Board	Org	151
Europees Waarnemingscentrum inzake racisme en xenofobie	Org	152
Adviescollege besteding vierde tranche pool van door Nazi Duitsland geroofd goud	Org	153
Adviesraad van het Landelijk Bureau Racismebestrijding	Org	154
Raad voor de Journalistiek	Org	155
WTC Businessclub Amsterdam Schiphol	Org	156
Begeleidingscommissie evaluatie EK2000	Org	157
Gemeente Waddinxeen	Org	158
Adviescommissie grondrechten en functie uitoefening ambtenaren	Org	159
Amsterdamsch Studentencorps	Org	160
NVSH Nederlandse Vereniging voor Seksuele Hervorming	Org	161
Kring voor Wetenschap der Politiek	Org	162
Oud Nereus	Org	163
Amsterdamse Universiteitsvereniging	Org	164
Liberaal Joodse Gemeente	Org	165
Nederlandse Maatschappij voor Nijverheid en Handel	Org	166
Commissaris van de Koningin in Friesland	Org	167
KLOZ Kontaktorgaan Landelijke Organisaties van Ziektekostenverzekaars	Org	168
ZN Zorgverzekeraars Nederland	Org	169
Liberaal Reveil	Org	170
Pim Fortuyn Foundation	Org	171
Otto Workforce	Org	172
H R van Triest B V te Hoogeveen	Org	173
VNO NCW	Org	174
Zelfstandige Klinieken Nederland	Org	175
Liberaal Beraad	Org	176
Algemeen Dagblad	Org	177
SEP Samenwerkende Electriciteits produktiebedrijven	Org	178
Vereniging Hendrick de Keyser	Org	179
Provinciaal Anjerfonds te Friesland als Commissaris van de Koningin	Org	180
ETIF Economisch Technisch Instituut voor Friesland  als Commissaris van de Koningin	Org	181
PPC Provinciale Planologische Commissie te Friesland als Commissaris van de Koningin	Org	182
Noorden des Lands	Org	183
RARO voor de Ruimtelijke Ordening	Org	184
Centraal Brouwerij Kantoor	Org	185
NSOB Nederlandse School voor Openbaar	Org	186
Stichting Noordelijke Hogeschool te Leeuwarden	Org	187
ultiem overleg  bijzonder overleg met belangenverenigingen militairen	Org	188
EGKO Beheer B V	Org	189
Raad van Stichting Nederland Amerika	Org	190
Bruil Arnhem Beheer	Org	191
Koninklijke Bols Wessanen N V	Org	192
Commissie van Goede Diensten inzake een conflict over de graanprijzen	Org	193
Stichting Administratiekantoor Douwe Egberts Sara Lee	Org	194
Meyn B V te Oostzaan	Org	195
Van Gansewinkel B V	Org	196
Burger s Verwarming en Airconditioning B V	Org	197
Coöperatieve Achmea Verzekeringsgroep	Org	198
Stichting Maatschappij en Politie	Org	199
De Meeuw B V	Org	200
NOB Nederlands Omroep Bedrijf	Org	201
Deerm B V	Org	202
Copaco N V	Org	203
Newconomy	Org	204
Staatsbosbeheer	Org	205
Nationale Vacaturebank nl	Org	206
Ronald McDonald Kinderfonds	Org	207
ECN Energie Onderzoek Centrum Nederland te Petten	Org	208
De Pers	Org	209
Vereniging van oud leerlingen der Zeevaartschool Terschelling	Org	210
LAC Leeuwarder Athletiek Vereeniging  Frisia	Org	211
Nederlands Rode Kruis kring te Friesland als Commissaris van de Koningin	Org	212
Bond van Nederlandse oorlogs en dienstslachtoffers	Org	213
Comité van aanbeveling Stichting Vrienden van Bronbeek	Org	214
assistent Onze Lieve Vrouwe Gasthuis te Amsterdam	Org	215
Rijksuniversiteit Utrecht	Org	216
Bloedbank	Org	217
Academisch Ziekenhuis te Utrecht	Org	218
Gezondheidsraad	Org	219
onderzoek van het klinisch handelen	Org	220
College voor de Bloedtransfusie	Org	221
Kerncommissie Ethiek Medisch Onderzoek	Org	222
AWT Adviesraad voor Wetenschap en Technologie	Org	223
ëindigend optreden Commissie Remmelink	Org	224
Immunisatie	Org	225
Genetica	Org	226
Gezondheidsethiek en Gezondheidsrecht	Org	227
Board of the International Partnership for Microbicides	Org	228
Programmacommissie Vraagsturing in de Zorg ZON MW	Org	229
CBO Nederlands Kwaliteitsinstituut Gezondheidszorg	Org	230
NIVEL Nationaal instituut voor wetenschappelijk onderzoek in de gezondheidszorg	Org	231
NFK Nederlandse Federatie van Kankerpatiënten Organisaties	Org	232
Nationaal Comité 4 en 5 mei	Org	233
NPRD Nationaal Platform voor overleg en samenwerking tegen racisme en discriminatie	Org	234
Code Goed voor Goede Doelen van de brancheorganisatie van landelijk wervende goede doelen VFI	Org	235
College van Advies Hersenstichting Nederland	Org	236
Regiegroep Toekomst Antidiscriminatiebureaus	Org	237
Commissie Prinsjesdagstukken	Org	238
Stivoro Stichting Volksgezondheid en Roken	Org	239
IPSO Inloophuizen Psycho oncologische centra Samenwerking en Ondersteuning	Org	240
Helen Dowling Instituut	Org	241
