Source	Target	date_in	date_out	rubriek
15458	70	1993-01-01	2014-01-01	3611.0
15458	71	1995-01-01	1999-01-01	3611.0
15458	72	1995-01-01	1998-01-01	3611.0
15458	73	1996-01-01	1999-01-01	3611.0
15458	74			3611.0
15458	75	2011-01-01	2016-01-27	3611.0
15458	76	2011-01-01	2014-01-01	3611.0
15458	77	2013-01-01	2016-01-01	3611.0
15563	77			3610.0
15809	77	2013-01-01	2016-01-27	3610.0
15968	77	1998-01-01	2010-01-01	3500.0
15968	77			3611.0
15458	78	2014-01-04	2018-01-04	3611.0
15829	78	2014-01-06	2016-01-27	3611.0
15861	78	2014-01-06	2016-01-27	3611.0
15458	79	2018-01-04	2011-01-04	3611.0
15458	80			3910.0
15458	15423	1995-06-13	1999-06-07	-9
15458	15423	1999-06-08	2003-06-09	-9
15458	15423	2003-06-10	2007-06-11	-9
15460	15423	1995-06-13	1999-06-07	-9
15469	15423	2001-02-06	2002-05-22	-9
15469	15423	2002-05-23	2003-01-29	-9
15469	15423	2003-01-30	2006-11-29	-9
15469	15423	2006-11-30	2010-06-16	-9
15481	15423	1994-05-17	1998-05-18	-9
15487	15423	1995-06-13	1999-06-07	-9
15487	15423	1999-06-08	2003-06-09	-9
15489	15423	1995-06-13	1999-06-07	-9
15491	15423	1995-06-13	1999-06-07	-9
15491	15423	1999-06-08	2003-06-09	-9
15493	15423	1994-05-17	1998-05-18	-9
15494	15423	1999-06-08	2003-06-09	-9
15494	15423	2003-06-10	2007-06-11	-9
15494	15423	2007-06-12	2011-06-06	-9
15494	15423	2011-06-07	2015-06-08	-9
15494	15423	1994-05-17	1998-05-18	-9
15505	15423	1998-05-19	2002-05-22	-9
15508	15423	2015-06-09		-9
15508	15423	1998-05-19	2002-05-22	-9
15508	15423	2002-05-23	2003-01-29	-9
15508	15423	2003-01-30	2006-11-29	-9
15508	15423	2006-11-30	2010-06-16	-9
15508	15423	2010-06-17	2010-10-13	-9
15508	15423	2010-10-14	2012-11-04	-9
15511	15423	1998-05-19	2002-05-22	-9
15511	15423	2002-05-23	2002-07-21	-9
15511	15423	2003-01-30	2003-05-26	-9
15511	15423	2006-11-30	2007-02-21	-9
15511	15423	2006-07-07	2007-02-21	-9
15511	15423	2002-07-22	2003-05-26	-9
15511	15423	2003-05-27	2006-07-06	-9
15511	15423	2007-02-22	2010-02-22	-9
15511	15423	2010-02-23	2010-10-13	-9
15517	15423	1998-05-19	2002-05-22	-9
15517	15423	2002-05-23	2003-01-29	-9
15517	15423	2003-01-30	2006-11-29	-9
15520	15423	1998-05-19	2002-05-22	-9
15520	15423	2002-05-23	2003-01-29	-9
15520	15423	2003-01-30	2004-07-19	-9
15520	15423	2007-02-22	2010-02-22	-9
15520	15423	2010-02-23	2010-10-13	-9
15531	15423	1998-05-19	2002-05-22	-9
15531	15423	2002-05-23	2002-07-21	-9
15531	15423	2003-01-30	2003-05-26	-9
15531	15423	2006-11-30	2007-02-21	-9
15531	15423	2006-07-07	2007-02-21	-9
15531	15423	2002-07-22	2003-05-26	-9
15531	15423	2003-05-27	2006-07-06	-9
